user,item,rating
A33GGROUQRQZS,B000000B24,5.0
A2WQY1B8ZS7QRZ,B000000BEA,4.0
A2R6RA8FRBS608,B000000D7A,4.0
A3CN9CCJUNIPKT,B000000G8P,5.0
A1WKD13MH7ODIW,B000000MOE,5.0
A16CZRQL23NOIW,B000000WR7,5.0
AQ9T9A5WJXVA9,B000000Z95,4.0
A2AIMXT9PLAM12,B0000012UW,3.0
A2AIMXT9PLAM12,B0000012VJ,3.0
A2Z125PVH4WZE7,B0000012VN,5.0
A2AIMXT9PLAM12,B0000012W0,3.0
A328S9RN3U5M68,B0000012WN,5.0
AZC562U18BK2S,B0000013IS,4.0
ADEW9NW1HGTNJ,B0000013IS,4.0
AYOPOFV2QKC31,B0000013JG,3.0
AYOPOFV2QKC31,B0000013L4,4.0
AYOPOFV2QKC31,B0000013P6,3.0
AFVROUVTT63XM,B0000013PE,5.0
A3AUECYM0M0YSX,B0000013RN,5.0
A3GRVGD58ZUXD0,B0000013SC,5.0
A2Z125PVH4WZE7,B0000013SE,5.0
AYOPOFV2QKC31,B0000013SH,2.0
A188XNV7VNF86X,B0000013T5,5.0
A2PR6NXG0PA3KY,B0000013WE,4.0
AQ9T9A5WJXVA9,B0000013Y3,4.0
A21VR7M8O55EF6,B0000013Y3,4.0
A3EJWHGO91FA0N,B000001443,5.0
A33GGROUQRQZS,B00000145R,4.0
A33GGROUQRQZS,B00000147S,4.0
A3JV7KL1ECLZB8,B00000147S,5.0
A3EJWHGO91FA0N,B00000148F,5.0
A328S9RN3U5M68,B000001492,4.0
AQ9T9A5WJXVA9,B0000014AS,4.0
A21VR7M8O55EF6,B0000014AS,4.0
A21VR7M8O55EF6,B0000014CJ,5.0
A3EJWHGO91FA0N,B0000014D2,5.0
A2PR6NXG0PA3KY,B0000014DF,4.0
A2TAPL67U2A5HM,B0000014DX,5.0
A21VR7M8O55EF6,B0000014DX,5.0
A21VR7M8O55EF6,B0000014DY,5.0
A2PR6NXG0PA3KY,B0000014EA,5.0
A234338PUKK2F1,B0000014EA,5.0
A3EJWHGO91FA0N,B0000014EL,5.0
A16MJQLJDFO4M6,B0000014FB,3.0
AQ9T9A5WJXVA9,B0000014GS,5.0
A21VR7M8O55EF6,B0000014GS,4.0
AQ9T9A5WJXVA9,B0000014GT,5.0
A21VR7M8O55EF6,B0000014GT,4.0
A2PR6NXG0PA3KY,B0000014H1,3.0
A3CN9CCJUNIPKT,B00000163X,5.0
ADF9I3DTB6C3Q,B00000163X,4.0
AYOPOFV2QKC31,B00000165Z,5.0
A16CZRQL23NOIW,B00000166J,5.0
AYOPOFV2QKC31,B000001689,5.0
A1OX82JPAQLL60,B00000168A,5.0
A2PR6NXG0PA3KY,B0000016BR,5.0
A2TAPL67U2A5HM,B0000016EZ,5.0
A3JV7KL1ECLZB8,B0000016EZ,5.0
A2TAPL67U2A5HM,B0000016FH,5.0
A2Z125PVH4WZE7,B0000016JD,4.0
A1OB5L3WMHJAD9,B0000016KA,2.0
A2TAPL67U2A5HM,B0000016KK,5.0
A2PAD826IH1HFE,B0000016M2,3.0
A33GGROUQRQZS,B0000016NG,4.0
A1OB5L3WMHJAD9,B0000016NT,3.0
A1P4I3DRY88OMK,B00000178L,5.0
A2R6RA8FRBS608,B0000017WZ,5.0
A6FIAB28IS79,B0000017WZ,4.0
A2WQY1B8ZS7QRZ,B000001C0E,4.0
A6FIAB28IS79,B000001C3S,2.0
A2X7NBUETXC19E,B000001C6Y,4.0
ACG9VLB5JCN1D,B000001C6Y,5.0
A16CZRQL23NOIW,B000001G6F,5.0
AKT8TGIT6VVZ5,B000001G87,4.0
A2AIMXT9PLAM12,B000001G87,5.0
A1TPKBOBV0O84Z,B000001G9R,5.0
A3JV7KL1ECLZB8,B000001GB5,5.0
A2AIMXT9PLAM12,B000001GB5,3.0
A2AIMXT9PLAM12,B000001GEX,4.0
A1TPKBOBV0O84Z,B000001GGS,5.0
A1DVA28U3U9DEX,B000001GGS,5.0
A2TAPL67U2A5HM,B000001GHH,5.0
A1TPKBOBV0O84Z,B000001GI2,5.0
A1RU6YF7DHFU5Z,B000001IGG,5.0
A21VR7M8O55EF6,B000001K5M,4.0
A1UV2YLHHN029W,B000001KCH,4.0
AUEHG0DB54B7K,B000001OJ0,5.0
A16CZRQL23NOIW,B000001OJ0,5.0
A1DVA28U3U9DEX,B000001Q8P,5.0
A2T049UQONS0OY,B000001Q9T,4.0
AYOPOFV2QKC31,B000001QA4,5.0
A16CZRQL23NOIW,B000001RRK,5.0
A3DDSAGWD0UN9H,B000001RV3,5.0
A33GGROUQRQZS,B000001RV3,4.0
A1OB5L3WMHJAD9,B000001RVG,3.0
A16CZRQL23NOIW,B000001RWV,5.0
A39VT91VD5N5ZZ,B000001RWW,5.0
A33GGROUQRQZS,B000001RXG,5.0
A16CZRQL23NOIW,B000001RXG,5.0
A3DDSAGWD0UN9H,B000001RZC,5.0
AYOPOFV2QKC31,B000001S1N,5.0
A1UBBIDQTDDF79,B000001S31,5.0
A2PR6NXG0PA3KY,B000001S31,5.0
A2OPSPL8LSSJPC,B000001S9I,5.0
ARUQ9F6THFEZ2,B000001XML,5.0
A39VT91VD5N5ZZ,B000001XX9,2.0
A3DDSAGWD0UN9H,B000001ZHU,5.0
A2R6RA8FRBS608,B000001ZRI,4.0
A2PR6NXG0PA3KY,B00000203X,5.0
A39VT91VD5N5ZZ,B0000023Q4,5.0
A2TAPL67U2A5HM,B0000024D2,5.0
A2TAPL67U2A5HM,B0000026PV,4.0
A2T049UQONS0OY,B0000026PV,3.0
A2AIMXT9PLAM12,B0000028XL,5.0
A15D7YGN4DLWZG,B00000296V,3.0
A2AIMXT9PLAM12,B000002A8J,5.0
A16CZRQL23NOIW,B000002A93,4.0
A2AIMXT9PLAM12,B000002A93,5.0
AAE2DUEMTR30I,B000002AUF,4.0
A16CZRQL23NOIW,B000002AUF,4.0
A331OF34UX4Y1K,B000002LB7,1.0
A1YRLTQX3ZXC9C,B000002R2A,5.0
A2AIMXT9PLAM12,B000002RZ4,5.0
A2R6RA8FRBS608,B000002SO0,5.0
A2PR6NXG0PA3KY,B000002ZEV,5.0
A3EJWHGO91FA0N,B000002ZEV,5.0
AAE2DUEMTR30I,B000002ZFR,5.0
AAE2DUEMTR30I,B000002ZLE,4.0
AAE2DUEMTR30I,B000002ZMY,4.0
A33GGROUQRQZS,B000002ZMY,3.0
A3ULZ8Y0EQNYK9,B000002ZYN,5.0
A3AUECYM0M0YSX,B0000030B2,2.0
A33GGROUQRQZS,B0000030JP,4.0
A1TPKBOBV0O84Z,B0000030QX,5.0
A2T049UQONS0OY,B0000030S9,4.0
A23QTZE764PJNS,B000003548,5.0
A3TLIMEV56GB3W,B0000035OJ,4.0
A3JV7KL1ECLZB8,B0000035OJ,5.0
A3DDSAGWD0UN9H,B0000035V9,4.0
A33GGROUQRQZS,B00000376W,5.0
A1OB5L3WMHJAD9,B00000379F,4.0
A3JV7KL1ECLZB8,B00000379H,5.0
A3ULZ8Y0EQNYK9,B0000037B4,5.0
A3DDSAGWD0UN9H,B0000037F7,5.0
A2PAD826IH1HFE,B0000037FJ,5.0
A2TAPL67U2A5HM,B0000037HL,5.0
A39VT91VD5N5ZZ,B0000037JJ,5.0
A39VT91VD5N5ZZ,B0000037K8,5.0
A2FJCITRT7GQ0N,B000003CAL,5.0
A2Z125PVH4WZE7,B000003CYI,5.0
A2WQY1B8ZS7QRZ,B000003D9I,4.0
A3TLIMEV56GB3W,B000003ES0,3.0
A1OB5L3WMHJAD9,B000003FOS,2.0
A188XNV7VNF86X,B000003GEE,5.0
A2T049UQONS0OY,B000003GJH,5.0
A3DDSAGWD0UN9H,B000003GJK,4.0
ASCQPZ3NI0U3S,B000003J3H,4.0
A2AIMXT9PLAM12,B000003JPP,2.0
A30JFEZEVKQ7ZN,B000003JSF,4.0
A1DVA28U3U9DEX,B000003JSF,5.0
AF77PSQW3ERPG,B000003LK0,2.0
A1UBBIDQTDDF79,B000003UXS,5.0
A30JFEZEVKQ7ZN,B0000041LB,5.0
A16ZKUFXHXQFW5,B0000042QC,5.0
AYOPOFV2QKC31,B00000443Y,3.0
A16CZRQL23NOIW,B0000044CY,5.0
A3CRG8NYUSK9PS,B0000044WM,5.0
A2AIMXT9PLAM12,B0000044WM,5.0
A2T049UQONS0OY,B0000045TQ,3.0
A23QTZE764PJNS,B0000049OF,5.0
A1UV2YLHHN029W,B0000049Q4,4.0
AFSBKKDFLZZX5,B000004BI4,5.0
A16CZRQL23NOIW,B0000057F6,5.0
AQ9T9A5WJXVA9,B0000057MU,5.0
A33GGROUQRQZS,B0000057YJ,4.0
AFVROUVTT63XM,B0000057ZX,5.0
A3HP3GQP8RFHYT,B000005911,5.0
A1GPDE0SVI2EUP,B00000598K,5.0
A3ULZ8Y0EQNYK9,B0000059EH,5.0
A16CZRQL23NOIW,B000005AOR,5.0
AAE2DUEMTR30I,B000005AQI,5.0
A2AIMXT9PLAM12,B000005AQX,5.0
A3CN9CCJUNIPKT,B000005CMU,5.0
A6FIAB28IS79,B000005DAJ,5.0
A2T049UQONS0OY,B000005E86,5.0
A2AIMXT9PLAM12,B000005E86,5.0
A1UV2YLHHN029W,B000005ICG,5.0
A16CZRQL23NOIW,B000005MYP,5.0
A188XNV7VNF86X,B000005WWL,4.0
A188XNV7VNF86X,B000005WWN,5.0
A1TPKBOBV0O84Z,B000005WWQ,4.0
A188XNV7VNF86X,B000005WWQ,5.0
A2WQY1B8ZS7QRZ,B000005X0E,3.0
A1ZFIQ8FWYXIIO,B000005ZB3,5.0
A2AIMXT9PLAM12,B000006000,4.0
A21VR7M8O55EF6,B0000060C2,5.0
A2TAPL67U2A5HM,B0000060H1,5.0
A2TAPL67U2A5HM,B0000060H2,5.0
A2X7NBUETXC19E,B0000060ZQ,4.0
AJL1GY6CCEK79,B0000060ZQ,1.0
AAE2DUEMTR30I,B0000061JK,5.0
AFVROUVTT63XM,B0000061JK,5.0
A19T4IHJU5CZOE,B0000064B2,3.0
A2PAD826IH1HFE,B000006B8N,5.0
A6FIAB28IS79,B000006KNO,4.0
A2U49LUUY4IKQQ,B000006XMN,5.0
A2U49LUUY4IKQQ,B0000070YG,5.0
A2OPSPL8LSSJPC,B0000073K0,5.0
A2WQY1B8ZS7QRZ,B0000073MN,3.0
A2PAD826IH1HFE,B000007NEC,5.0
A2TAPL67U2A5HM,B000007NEG,5.0
A2AIMXT9PLAM12,B000007NUV,5.0
AQ9T9A5WJXVA9,B000007OLS,4.0
A3CN9CCJUNIPKT,B000007S3U,5.0
A3ULZ8Y0EQNYK9,B000007TS1,5.0
A3VZVYWCTGIEV0,B000007TT3,4.0
A2SH7OWE8QJYNC,B000008528,4.0
A2U49LUUY4IKQQ,B0000085CM,5.0
AW2QSBNKZKSNT,B0000085CM,2.0
A2X7NBUETXC19E,B000008IBX,4.0
A1OV5S2N1L2Z07,B000008U8T,4.0
A21VR7M8O55EF6,B000008UC6,5.0
A188XNV7VNF86X,B000009CJF,4.0
A2T049UQONS0OY,B000009J6P,3.0
A33GGROUQRQZS,B000009KNC,4.0
AFVROUVTT63XM,B000009OLW,4.0
A3GRVGD58ZUXD0,B000009OLW,3.0
AFVROUVTT63XM,B000009OMA,5.0
A16CZRQL23NOIW,B000009OMA,5.0
A1UV2YLHHN029W,B000009OMA,5.0
AQ9T9A5WJXVA9,B000009OQN,5.0
A188XNV7VNF86X,B000009RMT,4.0
A3EJWHGO91FA0N,B000009TPP,5.0
A188XNV7VNF86X,B00000AGL2,5.0
A2U49LUUY4IKQQ,B00000AGMM,4.0
A3EJWHGO91FA0N,B00000C2KM,4.0
A887VAOUFX5BJ,B00000C2KM,4.0
A2AIMXT9PLAM12,B00000C2KM,4.0
A39VT91VD5N5ZZ,B00000C3K9,4.0
A3DDSAGWD0UN9H,B00000DD7B,4.0
A2TAPL67U2A5HM,B00000DDLN,5.0
A21VR7M8O55EF6,B00000DDML,5.0
A16CZRQL23NOIW,B00000DFMH,5.0
A3ULZ8Y0EQNYK9,B00000DHSG,5.0
A33GGROUQRQZS,B00000DHTA,1.0
AFVROUVTT63XM,B00000DMGH,4.0
A3JV7KL1ECLZB8,B00000DMGH,5.0
A3D4IY3MYEE0HO,B00000DMGH,5.0
A23QTZE764PJNS,B00000DNKE,5.0
A33GGROUQRQZS,B00000DNKE,5.0
A2AIMXT9PLAM12,B00000DNKE,4.0
A1UBBIDQTDDF79,B00000DNXC,5.0
AYOPOFV2QKC31,B00000DNXC,5.0
A2AIMXT9PLAM12,B00000E32X,3.0
AAE2DUEMTR30I,B00000E3HL,5.0
A887VAOUFX5BJ,B00000E3YZ,5.0
A2AIMXT9PLAM12,B00000E42X,5.0
A2AIMXT9PLAM12,B00000E47I,5.0
A3ULZ8Y0EQNYK9,B00000E4ER,5.0
A2AIMXT9PLAM12,B00000E4ET,5.0
A2AIMXT9PLAM12,B00000E6M5,5.0
A1UV2YLHHN029W,B00000G507,4.0
A34YO0W6T83AWS,B00000I038,5.0
A14GK0E64J0WAS,B00000I038,4.0
A2K48S49DM6CU4,B00000I0DV,4.0
A3VZVYWCTGIEV0,B00000I0HU,4.0
A234338PUKK2F1,B00000I2KX,5.0
A16CZRQL23NOIW,B00000I9WQ,5.0
A188XNV7VNF86X,B00000I9WQ,4.0
A2AIMXT9PLAM12,B00000I9WQ,5.0
A3ULZ8Y0EQNYK9,B00000IFN9,5.0
A12GMYJYXM11PT,B00000IGV4,4.0
AAE2DUEMTR30I,B00000IMFX,5.0
AUEHG0DB54B7K,B00000INXW,5.0
AAE2DUEMTR30I,B00000INXW,5.0
A2WQY1B8ZS7QRZ,B00000IPTT,4.0
A39VT91VD5N5ZZ,B00000IQHY,4.0
A2X69PPTIMFVZW,B00000IS02,5.0
A33GGROUQRQZS,B00000IWT4,4.0
AUEHG0DB54B7K,B00000IX89,5.0
A16CZRQL23NOIW,B00000IX89,3.0
AZC562U18BK2S,B00000IX89,3.0
AQ9T9A5WJXVA9,B00000IX89,4.0
AQ9T9A5WJXVA9,B00000IXIY,5.0
A21VR7M8O55EF6,B00000IXIY,4.0
A2AIMXT9PLAM12,B00000J28D,5.0
AUEHG0DB54B7K,B00000J80B,5.0
A2PR6NXG0PA3KY,B00000J8KB,5.0
A188XNV7VNF86X,B00000J8KB,4.0
A33GGROUQRQZS,B00000J8R7,4.0
A2PR6NXG0PA3KY,B00000J8XV,5.0
A2WQY1B8ZS7QRZ,B00000JC8G,3.0
A33GGROUQRQZS,B00000JCG5,4.0
A2AIMXT9PLAM12,B00000JF6O,3.0
AT0MAAQMQ4S97,B00000JIRU,4.0
A3CN9CCJUNIPKT,B00000JIYO,5.0
A2Z125PVH4WZE7,B00000JJ2L,5.0
A1ODZ7SDUPEGNK,B00000JJQ1,4.0
A33GGROUQRQZS,B00000JLFX,5.0
A2PR6NXG0PA3KY,B00000JMXF,5.0
A11UIUHN1Y2CT9,B00000JMXF,5.0
A33GGROUQRQZS,B00000JMZ7,4.0
A2C7BOQVFH1HLE,B00000JOUF,1.0
A1M8AYAL3L8ACP,B00000JP8N,5.0
A2U49LUUY4IKQQ,B00000JP8N,5.0
A33GGROUQRQZS,B00000JPZ4,4.0
A2AIMXT9PLAM12,B00000JQI5,3.0
A30JFEZEVKQ7ZN,B00000JQYD,4.0
A2AIMXT9PLAM12,B00000JYT7,5.0
A2U49LUUY4IKQQ,B00000K1KL,5.0
A33GGROUQRQZS,B00000K2N9,4.0
A3JV7KL1ECLZB8,B00001IVNK,5.0
A2AIMXT9PLAM12,B00001IVNK,5.0
A2TAPL67U2A5HM,B00001NTNH,4.0
A33GGROUQRQZS,B00001QEEW,5.0
A1UV2YLHHN029W,B00001QEEW,4.0
A16CZRQL23NOIW,B00001R3FN,5.0
A2Z125PVH4WZE7,B00001T6KC,4.0
A33GGROUQRQZS,B00001T6KC,4.0
A3ULZ8Y0EQNYK9,B00001W091,5.0
A1JBUBTQ48ITN4,B00001W0DT,4.0
A6FIAB28IS79,B00001W0DT,4.0
A2WQY1B8ZS7QRZ,B00001XDQG,4.0
A3GRVGD58ZUXD0,B00001XDQM,5.0
A2K2JY09CJI7HR,B00001YVCJ,2.0
A3GRVGD58ZUXD0,B00001YVCJ,4.0
A21VR7M8O55EF6,B00001YVCJ,5.0
A2K2JY09CJI7HR,B00001YVCP,1.0
AYOPOFV2QKC31,B00001YVCP,5.0
A21VR7M8O55EF6,B00001YVCP,5.0
A2K2JY09CJI7HR,B00001YVCQ,1.0
A3T2JX1MWYOCSE,B000023ZEW,5.0
A3JV7KL1ECLZB8,B000024575,5.0
AQ9T9A5WJXVA9,B000024EYU,5.0
A3DDSAGWD0UN9H,B000024JPT,4.0
A2AIMXT9PLAM12,B000024JPW,4.0
AW2QSBNKZKSNT,B000024MI9,3.0
A16CZRQL23NOIW,B000024ZB1,5.0
A2U49LUUY4IKQQ,B000024ZXJ,5.0
A3CN9CCJUNIPKT,B0000251B7,5.0
A38L9I59GH34O0,B0000255CL,5.0
A3DDSAGWD0UN9H,B00002569K,5.0
A16CZRQL23NOIW,B0000256ZV,5.0
A2U49LUUY4IKQQ,B000025721,5.0
AQ9T9A5WJXVA9,B000025CHY,4.0
A3DDSAGWD0UN9H,B000025EIZ,3.0
AQ9T9A5WJXVA9,B000025HVG,4.0
A16MJQLJDFO4M6,B000025LLR,2.0
A2T049UQONS0OY,B000025QOY,4.0
A3ATLB1PTCDK3X,B000025QVC,5.0
AAE2DUEMTR30I,B000025R5C,4.0
A16CZRQL23NOIW,B000025R5C,4.0
A1TPKBOBV0O84Z,B000025RB8,5.0
A3JV7KL1ECLZB8,B000025RTU,5.0
A2TAPL67U2A5HM,B000025U5X,5.0
AYOPOFV2QKC31,B000025U5X,5.0
A3CN9CCJUNIPKT,B000026223,5.0
A1OB5L3WMHJAD9,B0000263KS,3.0
A3DDSAGWD0UN9H,B000026487,3.0
A2Z125PVH4WZE7,B0000264X0,5.0
AZC562U18BK2S,B000026501,4.0
A2A55AXWOFFDVZ,B000026BKV,5.0
AZC562U18BK2S,B000026BKV,4.0
A3DDSAGWD0UN9H,B000026BSF,5.0
A16CZRQL23NOIW,B000026CG2,5.0
A2U49LUUY4IKQQ,B000026GCC,5.0
A2R6RA8FRBS608,B00002781A,5.0
A2U49LUUY4IKQQ,B00002781A,5.0
A3DDSAGWD0UN9H,B000027KGL,5.0
A2PR6NXG0PA3KY,B000027O49,3.0
A3DDSAGWD0UN9H,B000027QWL,3.0
A3JV7KL1ECLZB8,B000027QWL,5.0
A3JV7KL1ECLZB8,B000027QWV,5.0
AF77PSQW3ERPG,B000027QWV,5.0
A2T049UQONS0OY,B000027QWV,5.0
A887VAOUFX5BJ,B000027QWV,5.0
A16CZRQL23NOIW,B000027R0C,5.0
A3ULZ8Y0EQNYK9,B000028AW8,5.0
A1FAXUTZSXUFKD,B000028CJX,5.0
A2U49LUUY4IKQQ,B00002CEZL,5.0
A19OOIXU7I2DVJ,B00002EIWR,4.0
A3DDSAGWD0UN9H,B00002EPNE,5.0
A16CZRQL23NOIW,B00002EPNJ,5.0
A3DDSAGWD0UN9H,B00002MXOO,5.0
A3DDSAGWD0UN9H,B00002MXP0,3.0
A33GGROUQRQZS,B00002R15J,4.0
A1GPDE0SVI2EUP,B00002S8C8,5.0
AEMPJD9G9CS1W,B00002S9UM,2.0
A2VVWVBI9Y7KN8,B00002SFNB,1.0
A2Z125PVH4WZE7,B00002ZZ55,5.0
A2PR6NXG0PA3KY,B00002ZZ55,5.0
A2AIMXT9PLAM12,B00002ZZ5G,4.0
A1OX82JPAQLL60,B000031WGD,5.0
A3JV7KL1ECLZB8,B000031WGF,5.0
A188XNV7VNF86X,B000031WGF,4.0
A21VR7M8O55EF6,B000031WHA,5.0
A2TAPL67U2A5HM,B000031WHE,4.0
A33GGROUQRQZS,B000034CW2,3.0
A2PR6NXG0PA3KY,B000034CW2,5.0
A328S9RN3U5M68,B000034CW2,4.0
A2GV6DL2Y8J7HC,B000034D5H,5.0
A39VT91VD5N5ZZ,B000035QA1,5.0
A2T049UQONS0OY,B000035QA1,4.0
A3ULZ8Y0EQNYK9,B00003GAB8,5.0
A2SRURNSJFIP4S,B00003GAB8,5.0
A39VT91VD5N5ZZ,B00003INIT,5.0
A2TAPL67U2A5HM,B00003L1XI,5.0
A2PR6NXG0PA3KY,B00003L1XI,5.0
A11UIUHN1Y2CT9,B00003L1XI,5.0
A19T4IHJU5CZOE,B00003L1XJ,4.0
A1UV2YLHHN029W,B00003OO0J,4.0
A2XZ7B2IH1O3Q,B00003OP1O,3.0
A1VYFBHW6OHA59,B00003OPAI,4.0
A328S9RN3U5M68,B00003Q081,5.0
A2TAPL67U2A5HM,B00003XB6K,5.0
A16CZRQL23NOIW,B00003ZA2C,5.0
A16CZRQL23NOIW,B000040OBD,5.0
A3JV7KL1ECLZB8,B000040OX0,5.0
A2B3XQ4FCJTKHQ,B000042O1K,5.0
A3VZVYWCTGIEV0,B000042OR9,4.0
A3DDSAGWD0UN9H,B000044U1U,4.0
A2PR6NXG0PA3KY,B00004BZ1A,3.0
A2X7NBUETXC19E,B00004C4QX,4.0
A1TPKBOBV0O84Z,B00004HYNM,5.0
A2PR6NXG0PA3KY,B00004HYNS,1.0
A331OF34UX4Y1K,B00004IC9G,2.0
A2WQY1B8ZS7QRZ,B00004IC9G,4.0
A16CZRQL23NOIW,B00004KH72,5.0
A2AIMXT9PLAM12,B00004KH72,5.0
A21NXVSFZDXFF6,B00004LN2B,4.0
AAE2DUEMTR30I,B00004NHPB,3.0
A33GGROUQRQZS,B00004NHPL,4.0
A33GGROUQRQZS,B00004NHPM,4.0
AAE2DUEMTR30I,B00004NK2B,5.0
A2AIMXT9PLAM12,B00004NK2B,3.0
A3DDSAGWD0UN9H,B00004OCEU,4.0
A129YBX5BVNW2,B00004OCP7,4.0
A2PAD826IH1HFE,B00004R7KC,5.0
A3T2JX1MWYOCSE,B00004R7MR,5.0
A1XI5UAJE5Z6KN,B00004R96M,4.0
A2Z125PVH4WZE7,B00004RDVO,5.0
A33GGROUQRQZS,B00004RGDH,3.0
A3GRVGD58ZUXD0,B00004RGDH,5.0
A348XX03AFWC06,B00004RGDH,3.0
AQ9T9A5WJXVA9,B00004RGDO,5.0
A21VR7M8O55EF6,B00004RGDO,4.0
A2B9QXLP6NGXF9,B00004RI6W,5.0
A1OB5L3WMHJAD9,B00004RJIX,4.0
A887VAOUFX5BJ,B00004S37A,4.0
A2FJCITRT7GQ0N,B00004SAJT,4.0
A1DVA28U3U9DEX,B00004SSEI,5.0
A2AIMXT9PLAM12,B00004SSEI,5.0
A3AUECYM0M0YSX,B00004SSHZ,5.0
A2TAPL67U2A5HM,B00004SUD2,5.0
A1UV2YLHHN029W,B00004SUD2,5.0
A3ULZ8Y0EQNYK9,B00004SUD9,5.0
A887VAOUFX5BJ,B00004SV5I,4.0
A2AIMXT9PLAM12,B00004SV5I,5.0
A30JFEZEVKQ7ZN,B00004SWGU,4.0
A39VT91VD5N5ZZ,B00004SWMC,5.0
A2TAPL67U2A5HM,B00004SYFQ,5.0
AAE2DUEMTR30I,B00004SYFQ,5.0
A2AIMXT9PLAM12,B00004SYFQ,5.0
A2PR6NXG0PA3KY,B00004SYHE,5.0
A1UV2YLHHN029W,B00004SYXW,4.0
A2T049UQONS0OY,B00004T0M3,5.0
A16CZRQL23NOIW,B00004T0MR,4.0
A14GK0E64J0WAS,B00004T0VZ,5.0
AAE2DUEMTR30I,B00004T2FW,4.0
ALPJ0UDR6UQZP,B00004TAT0,3.0
A1OX82JPAQLL60,B00004TCGU,5.0
A3ULZ8Y0EQNYK9,B00004TF2T,5.0
A887VAOUFX5BJ,B00004TJUY,5.0
A2AIMXT9PLAM12,B00004TL2O,4.0
AIJC9YV7TOOZI,B00004TQOT,1.0
AFVROUVTT63XM,B00004TQOT,5.0
A33GGROUQRQZS,B00004TQOT,3.0
A2QMG7UX43SPHH,B00004TT36,5.0
A33GGROUQRQZS,B00004TTJL,4.0
A33GGROUQRQZS,B00004TV83,3.0
A21VR7M8O55EF6,B00004TVA0,5.0
A3CN9CCJUNIPKT,B00004TVZB,4.0
A19T4IHJU5CZOE,B00004TXVX,5.0
A33GGROUQRQZS,B00004TZSF,4.0
A1GPDE0SVI2EUP,B00004U1CD,5.0
A3TLIMEV56GB3W,B00004U1CE,5.0
A2A55AXWOFFDVZ,B00004U1CE,4.0
AQ9T9A5WJXVA9,B00004U1CE,4.0
A33GGROUQRQZS,B00004U2KE,4.0
A39VT91VD5N5ZZ,B00004U2KI,4.0
A1UV2YLHHN029W,B00004U2KI,4.0
A2PR6NXG0PA3KY,B00004U2KR,5.0
A3GRVGD58ZUXD0,B00004U2KX,5.0
A33GGROUQRQZS,B00004U2KY,4.0
A2U49LUUY4IKQQ,B00004U66S,5.0
A32QOZWIKQDNZX,B00004UE2D,1.0
AJGIN15VFGXBG,B00004UE2D,5.0
AFS3FQR5JSDVJ,B00004UE2D,4.0
A2X7NBUETXC19E,B00004UENU,4.0
A3ULZ8Y0EQNYK9,B00004UFFY,5.0
A2TAPL67U2A5HM,B00004UFTY,5.0
A2AIMXT9PLAM12,B00004UPVL,4.0
ADF9I3DTB6C3Q,B00004UT2A,5.0
A1M8AYAL3L8ACP,B00004UXC0,4.0
A1GPDE0SVI2EUP,B00004VCQ8,5.0
A2AIMXT9PLAM12,B00004VCQ8,3.0
A2AIMXT9PLAM12,B00004VEPQ,5.0
A3AUECYM0M0YSX,B00004VEPQ,5.0
A2U49LUUY4IKQQ,B00004VVZ5,1.0
A2Z125PVH4WZE7,B00004VW0E,5.0
AQ9T9A5WJXVA9,B00004VW0H,5.0
A33GGROUQRQZS,B00004VWD4,4.0
